name,version,filename,python_version
pyFAI,0.21.3,pyFAI-0.21.3-cp37-cp37m-manylinux_2_17_ppc64le.manylinux2014_ppc64le.whl,cp37
pyFAI,0.21.3,pyFAI-0.21.3-cp37-cp37m-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,cp37
pyFAI,0.21.3,pyFAI-0.21.3-cp37-cp37m-manylinux_2_5_x86_64.manylinux1_x86_64.whl,cp37
pyFAI,0.21.3,pyFAI-0.21.3-cp37-cp37m-win_amd64.whl,cp37
line-profiler,3.5.0,line_profiler-3.5.0-cp37-cp37m-macosx_10_9_x86_64.whl,cp37
line-profiler,3.5.0,line_profiler-3.5.0-cp37-cp37m-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,cp37
line-profiler,3.5.0,line_profiler-3.5.0-cp37-cp37m-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,cp37
line-profiler,3.5.0,line_profiler-3.5.0-cp37-cp37m-manylinux_2_5_i686.manylinux1_i686.manylinux_2_17_i686.manylinux2014_i686.whl,cp37
line-profiler,3.5.0,line_profiler-3.5.0-cp37-cp37m-musllinux_1_1_aarch64.whl,cp37
line-profiler,3.5.0,line_profiler-3.5.0-cp37-cp37m-musllinux_1_1_i686.whl,cp37
line-profiler,3.5.0,line_profiler-3.5.0-cp37-cp37m-musllinux_1_1_x86_64.whl,cp37
line-profiler,3.5.0,line_profiler-3.5.0-cp37-cp37m-win32.whl,cp37
line-profiler,3.5.0,line_profiler-3.5.0-cp37-cp37m-win_amd64.whl,cp37
pantsbuild.pants,2.11.0.dev1,pantsbuild.pants-2.11.0.dev1-cp37-cp37m-manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.11.0.dev1,pantsbuild.pants-2.11.0.dev1-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.11.0.dev2,pantsbuild.pants-2.11.0.dev2-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.11.0.dev2,pantsbuild.pants-2.11.0.dev2-cp37-cp37m-manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.9.1rc0,pantsbuild.pants-2.9.1rc0-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.9.1rc0,pantsbuild.pants-2.9.1rc0-cp37-cp37m-manylinux2014_x86_64.whl,cp37
sagemaker-tensorflow,2.8.0.1.14.0,sagemaker_tensorflow-2.8.0.1.14.0-cp37-cp37m-manylinux1_x86_64.whl,cp37
pantsbuild.pants,2.10.0rc0,pantsbuild.pants-2.10.0rc0-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.10.0rc0,pantsbuild.pants-2.10.0rc0-cp37-cp37m-manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.11.0.dev0,pantsbuild.pants-2.11.0.dev0-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.11.0.dev0,pantsbuild.pants-2.11.0.dev0-cp37-cp37m-manylinux2014_x86_64.whl,cp37
sagemaker-tensorflow,2.7.1.1.12.0,sagemaker_tensorflow-2.7.1.1.12.0-cp37-cp37m-manylinux1_x86_64.whl,cp37
kwimage,0.8.1,kwimage-0.8.1-cp37-cp37m-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,cp37
kwimage,0.8.1,kwimage-0.8.1-cp37-cp37m-manylinux_2_5_i686.manylinux1_i686.manylinux_2_17_i686.manylinux2014_i686.whl,cp37
kwimage,0.8.1,kwimage-0.8.1-cp37-cp37m-musllinux_1_1_i686.whl,cp37
kwimage,0.8.1,kwimage-0.8.1-cp37-cp37m-musllinux_1_1_x86_64.whl,cp37
pantsbuild.pants,2.9.1rc1,pantsbuild.pants-2.9.1rc1-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.9.1rc1,pantsbuild.pants-2.9.1rc1-cp37-cp37m-manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.10.0rc3,pantsbuild.pants-2.10.0rc3-cp37-cp37m-manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.10.0rc3,pantsbuild.pants-2.10.0rc3-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
kwimage-ext,0.0.1,kwimage_ext-0.0.1-cp37-cp37m-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,cp37
kwimage-ext,0.2.0,kwimage_ext-0.2.0-cp37-cp37m-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.13.0a0,pantsbuild.pants-2.13.0a0-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.13.0a0,pantsbuild.pants-2.13.0a0-cp37-cp37m-manylinux2014_x86_64.whl,cp37
apache-flink,1.14.5,apache_flink-1.14.5-cp37-cp37m-macosx_10_9_x86_64.whl,cp37
apache-flink,1.14.5,apache_flink-1.14.5-cp37-cp37m-manylinux1_x86_64.whl,cp37
kwimage,0.8.0,kwimage-0.8.0-cp37-cp37m-manylinux_2_5_i686.manylinux1_i686.manylinux_2_12_i686.manylinux2010_i686.whl,cp37
kwimage,0.8.0,kwimage-0.8.0-cp37-cp37m-manylinux_2_5_x86_64.manylinux1_x86_64.manylinux_2_12_x86_64.manylinux2010_x86_64.whl,cp37
convertbng,0.6.36,convertbng-0.6.36-cp37-cp37m-macosx_10_9_x86_64.whl,cp37
convertbng,0.6.36,convertbng-0.6.36-cp37-cp37m-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.9.0.dev4,pantsbuild.pants-2.9.0.dev4-cp37-cp37m-manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.9.0.dev4,pantsbuild.pants-2.9.0.dev4-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.9.0rc0,pantsbuild.pants-2.9.0rc0-cp37-cp37m-manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.9.0rc0,pantsbuild.pants-2.9.0rc0-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
psycopg-binary,3.0.6,psycopg_binary-3.0.6-cp37-cp37m-macosx_10_9_x86_64.whl,cp37
psycopg-binary,3.0.6,psycopg_binary-3.0.6-cp37-cp37m-manylinux_2_24_aarch64.whl,cp37
psycopg-binary,3.0.6,psycopg_binary-3.0.6-cp37-cp37m-manylinux_2_24_i686.whl,cp37
psycopg-binary,3.0.6,psycopg_binary-3.0.6-cp37-cp37m-manylinux_2_24_ppc64le.whl,cp37
psycopg-binary,3.0.6,psycopg_binary-3.0.6-cp37-cp37m-manylinux_2_24_x86_64.whl,cp37
